"N° ordine
(ex ID
Sepack)"	ID Sepack	Data Evasione	Richiedente	Nome pacchetto carta	"Descrizione campione
(Ex Identificazione del campione)
"	Codice analisi	"valore
(ex Nota parametro/analisi richiesta)"	"NotaParam
(Ex Nota generale sul campione)"
25-000566	25LD01333	2025-07-17	SIT S.P.A.		1045193_10 - P30888BS0801 - VARNISH + BOT 20 + BOT 20 + PP CAST WHITE 40	1604UE	10gg 40°C	
25-000566	25LD01333	2025-07-17	SIT S.P.A.		1045193_10 - P30888BS0801 - VARNISH + BOT 20 + BOT 20 + PP CAST WHITE 40	6015B	10gg 60°C	
25-000566	25LD01334	2025-07-17	SIT S.P.A.		1045193_10 - P30888BS0801 - VARNISH + BOT 20 + BOT 20 + PP CAST WHITE 40	1123SQ		
25-000566	25LD01334	2025-07-17	SIT S.P.A.		1045193_10 - P30888BS0801 - VARNISH + BOT 20 + BOT 20 + PP CAST WHITE 40	1124SQ		
25-000567	25LD01335	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	1601UE	10gg 40°C	
25-000567	25LD01335	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	1602UE	10gg 40°C	
25-000567	25LD01335	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	1604UE	10gg 40°C	
25-000567	25LD01335	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	6015B	10gg 60°C	
25-000567	25LD01336	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	1123SQ		
25-000567	25LD01336	2025-07-17	SIT S.P.A.		1043078_10 - V200H8BS0580 - COEX MAT BARRIER 20 + PP CAST WHITE 38	1124SQ		
25-000568	25LD01337	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	1601UE	10gg 40°C	
25-000568	25LD01337	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	1602UE	10gg 40°C	
25-000568	25LD01337	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	1604UE	10gg 40°C	
25-000568	25LD01337	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	6015B	10gg 60°C	
25-000568	25LD01338	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	1123SQ		
25-000568	25LD01338	2025-07-17	SIT S.P.A.		1045372010 - P20088US0400 - OPP COEX 12+OPP COEX WHITE MET 28 (pfTSS + pfZRU) 	1124SQ		
25-000569	25LD01339	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2IN01	0007		prove in triplo - caricare cromatogramma
25-000569	25LD01339	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2IN01	1123SQ		prove in triplo - caricare cromatogramma
25-000569	25LD01339	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2IN01	1124SQ	1 h 150°C	prove in triplo - caricare cromatogramma
25-000569	25LD01339	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2IN01	1127SQ		prove in triplo - caricare cromatogramma
25-000569	25LD01339	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2IN01	3016M		prove in triplo
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	1255E95	10gg 20°C	prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	6088E95_EXT_KOR	10gg 20°C	prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	6089E95_EXT_KOR	10gg 20°C	prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	0007		prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	1123SQ		prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	1124SQ	1 h 150°C	prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	1127SQ		prove in triplo - caricare cromatogramma
25-000569	25LD01340	2025-07-25	KÖR INNOVATIONS GERMANY GMBH		FBITY2CIER2OUT01	3016M		prove in triplo
25-000570	25LD01341	2025-07-25	NOVACART SPA		Carta stampata giallo + motivo arabesque arancio	1502DEC		
25-000570	25LD01341	2025-07-25	NOVACART SPA		Carta stampata giallo + motivo arabesque arancio	1502FRC_EXT		
25-000570	25LD01342	2025-07-25	NOVACART SPA		Carta stampata verde + motivo arabesque verde scuro	1502DEC		
25-000570	25LD01342	2025-07-25	NOVACART SPA		Carta stampata verde + motivo arabesque verde scuro	1502FRC_EXT		
25-000571	25LD01343	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R498 CODICE: 1497056/P994 LOTTO: 28/11/2024 - INEOS 100-CC60 - LOTTO: DDH1103 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01343	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R498 CODICE: 1497056/P994 LOTTO: 28/11/2024 - INEOS 100-CC60 - LOTTO: DDH1103 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01344	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO NUOVO R526 CODICE: 1497056/P990 LOTTO: 27/11/2024 INEOS 100-CC60 - LOTTO: DDH1103 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01344	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO NUOVO R526 CODICE: 1497056/P990 LOTTO: 27/11/2024 INEOS 100-CC60 - LOTTO: DDH1103 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01345	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R498 CODICE: 1497056/P993 LOTTO: 22/11/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01345	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R498 CODICE: 1497056/P993 LOTTO: 22/11/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01346	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R526 CODICE: 1497056/P996 LOTTO: 25/11/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000571	25LD01346	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T24 PP DIAMANTE FONDELLO STANDARD R526 CODICE: 1497056/P996 LOTTO: 25/11/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01347	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P999 LOTTO: 31/03/2025 INEOS 100-CC60 - LOTTO: DBL1157 MILLIKEN GP10353G LOTTO: 2024265185	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01347	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P999 LOTTO: 31/03/2025 INEOS 100-CC60 - LOTTO: DBL1157 MILLIKEN GP10353G LOTTO: 2024265185	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01348	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P998 LOTTO: 11/12/2024 INEOS 100-CC60 - LOTTO: DDJ1108 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01348	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P998 LOTTO: 11/12/2024 INEOS 100-CC60 - LOTTO: DDJ1108 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01349	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P997 LOTTO: 11/12/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002 	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01349	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P997 LOTTO: 11/12/2024 SCGC X53P009J - LOTTO: 6J387735 MILLIKEN GP10353G LOTTO: 2024166002 	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01350	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P996 LOTTO: 11/12/2024 SABIC 595A - LOTTO: 8538DE45896 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000572	25LD01350	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHET T48 PP SINGLE LAYER FONDELLO T48 STANDARD R512 CODICE: 1497054/P996 LOTTO: 11/12/2024 SABIC 595A - LOTTO: 8538DE45896 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000573	25LD01351	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T44 PP SINGLE LAYER FONDELLO T44 CODICE: 1497061/P999 LOTTO: 11/12/2024 INEOS 100-CC60 - LOTTO: DDJ1108 MILLIKEN GP10353G LOTTO: 2024166002	1701IMB		analisi da effettuare sia su scatola che su fondello
25-000573	25LD01351	2025-07-11	PLASTIC LEGNO SPA		SCAT. ROCHER T44 PP SINGLE LAYER FONDELLO T44 CODICE: 1497061/P999 LOTTO: 11/12/2024 INEOS 100-CC60 - LOTTO: DDJ1108 MILLIKEN GP10353G LOTTO: 2024166002	1705IMB		analisi da effettuare sia su scatola che su fondello
25-000574	25LD01352	2025-07-11	PLASTIC LEGNO SPA		VASCH. FB80 II BIANCA CON ETICH. SLEEVE CODICE: 100010061F.XXXSL LOTTO: 07/05/2025 BOREALIS RJ766MO - LOTTO: 3220012434 BOREALIS HJ325MO - LOTTO: 3220012488 MST BIANCO RCL PE0CAH12020 LOTTO: ITOA093282	1701IMB		
25-000574	25LD01352	2025-07-11	PLASTIC LEGNO SPA		VASCH. FB80 II BIANCA CON ETICH. SLEEVE CODICE: 100010061F.XXXSL LOTTO: 07/05/2025 BOREALIS RJ766MO - LOTTO: 3220012434 BOREALIS HJ325MO - LOTTO: 3220012488 MST BIANCO RCL PE0CAH12020 LOTTO: ITOA093282	1705IMB		
25-000576	25LD01354	2025-07-14	NOVACART SPA		scatola torta con stampa tampografica	1243NPCNT		
25-000576	25LD01355	2025-06-30	NOVACART SPA		Copercòhio scatola paste	0000		
25-000577	25LD01356	2025-07-07	ALIPLAST SPA		25LD00078	0007_INT		
25-000577	25LD01356	2025-07-07	ALIPLAST SPA		25LD00078	1123SQPET	analizzare criomacinato	
25-000577	25LD01356	2025-07-07	ALIPLAST SPA		25LD00078	1124SQPET	analizzare criomacinato	
25-000577	25LD01356	2025-07-07	ALIPLAST SPA		25LD00078	0000	invio campione ad ecol per confronto interlaboratorio	
25-000577	25LD01357	2025-07-07	ALIPLAST SPA		25LD00079	0007_INT		
25-000577	25LD01357	2025-07-07	ALIPLAST SPA		25LD00079	1123SQPET		
25-000577	25LD01357	2025-07-07	ALIPLAST SPA		25LD00079	1124SQPET		
25-000577	25LD01357	2025-07-07	ALIPLAST SPA		25LD00079	0000		
25-000577	25LD01358	2025-07-07	ALIPLAST SPA		25LD00080	0007_INT		
25-000577	25LD01358	2025-07-07	ALIPLAST SPA		25LD00080	1123SQPET		
25-000577	25LD01358	2025-07-07	ALIPLAST SPA		25LD00080	1124SQPET		
25-000577	25LD01358	2025-07-07	ALIPLAST SPA		25LD00080	0000		
25-000577	25LD01359	2025-07-07	ALIPLAST SPA		25LD00081	0007_INT		
25-000577	25LD01359	2025-07-07	ALIPLAST SPA		25LD00081	1123SQPET		
25-000577	25LD01359	2025-07-07	ALIPLAST SPA		25LD00081	1124SQPET		
25-000577	25LD01359	2025-07-07	ALIPLAST SPA		25LD00081	0000		
25-000578	25LD01360	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	0007_INT		
25-000578	25LD01361	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	1249CNT		
25-000578	25LD01361	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	6088CNT		
25-000578	25LD01361/01	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	9038_PET		
25-000578	25LD01362	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	1123SQPET		
25-000578	25LD01362	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme 28gr 50%RPET - lotto 25P0000932   data del 27/05/2025	1124SQPET		
25-000578	25LD01363	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	0007_INT		
25-000578	25LD01364	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	1249CNT		
25-000578	25LD01364	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	6088CNT		
25-000578	25LD01364/01	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	9038_PET		
25-000578	25LD01365	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	1123SQPET		
25-000578	25LD01365	2025-07-01	ALOXE ITALIA RECYCLING SPA		Preforme14 gr 100%RPET -lotto 25P0001002 data del 16/06/2025	1124SQPET		
25-000579	25LD01366	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	0007_INT		per prove di contenuto di acetaldeide e benzene
25-000579	25LD01367	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	0007		
25-000579	25LD01368	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	1249CNT		previa macinazione criogenica
25-000579	25LD01368	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	6088CNT		previa macinazione criogenica
25-000579	25LD01368	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	9037CNT_rPET		
25-000579	25LD01368	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	9038_PET		
25-000579	25LD01368	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	6203_EXT		
25-000579	25LD01369	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	1123SQPET		
25-000579	25LD01369	2025-07-11	FERRARELLE S.P.A.		ALOXE 28 g GREEN, ALX-PS-00000229 DEL 17/06/2025 - 25P0000997-25P0000999_ stabilimento di Riardo	1124SQPET		
25-000579	25LD01370	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	0007_INT		per prove di contenuto di acetaldeide e benzene0
25-000579	25LD01371	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	0007		
25-000579	25LD01372	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	1123SQPET		
25-000579	25LD01372	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	1124SQPET		
25-000579	25LD01373	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	1249CNT		previa macinazione criogenica
25-000579	25LD01373	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	6088CNT		previa macinazione criogenica
25-000579	25LD01373	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	9037CNT_rPET		
25-000579	25LD01373	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	9038_PET		
25-000579	25LD01373	2025-07-11	FERRARELLE S.P.A.		ALOXE 23,5g BLUE VITAS 3142003847 DEL 02/05/2025 - 2503080201-2503090201- stabilimento di Boario	6203_EXT		
25-000579	25LD01374	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	0007_INT		per prove di contenuto di acetaldeide e benzene0
25-000579	25LD01375	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	0007		
25-000579	25LD01376	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	1123SQPET		
25-000579	25LD01376	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	1124SQPET		
25-000579	25LD01377	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	1249CNT		previa macinazione criogenica
25-000579	25LD01377	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	6088CNT		previa macinazione criogenica
25-000579	25LD01377	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	9037CNT_rPET		
25-000579	25LD01377	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	9038_PET		
25-000579	25LD01377	2025-07-11	FERRARELLE S.P.A.		ALOXE 14 g CLEAR, ALX-PS-00000219 DEL 16/06/2025 - 25P0001000- stabilimento di Riardo	6203_EXT		
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1601UE	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1602UE	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1604UE	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1501B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1621A	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1622B	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1625D2	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1502B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	6015B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	6067B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1202CNT		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1221PCNT		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1256CNT		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1452CNT		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1467CNT		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1702		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01378	2025-07-28	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1705IMB		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01379	2025-07-16	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1123SQ		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01379	2025-07-16	GASTRONOMICA ROSCIO SRL		0130622-0130127 ROL bianco - Lotto 221515F	1124SQ		nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	1501B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	1621A	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	1622B	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	1625D2	10gg 40°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	1502B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000580	25LD01380	2025-07-28	GASTRONOMICA ROSCIO SRL		0130623 ROL nero - Lotto 231984F	6015B	10gg 60°C	nella descrizione campione la cliente chiede di riportare: vaschetta termoformata oppure film termoformato.
25-000581	25LD01381	2025-07-14	FATTORIA SCALDASOLE S.R.L.		Pouch 85g. in monomateriale PP - Lotto di Pouch 231325/A-18 (Lotto Fornitore) - Scadenza indicata da fornitore 7/11/2024	1702		
25-000581	25LD01381	2025-07-14	FATTORIA SCALDASOLE S.R.L.		Pouch 85g. in monomateriale PP - Lotto di Pouch 231325/A-18 (Lotto Fornitore) - Scadenza indicata da fornitore 7/11/2024	1705IMB		
25-000581	25LD01382	2025-07-16	FATTORIA SCALDASOLE S.R.L.		Pouch 85g. in monomateriale PP - Lotto di Pouch 231325/A-18 (Lotto Fornitore) - Scadenza indicata da fornitore 7/11/2024	1123SQ		
25-000581	25LD01382	2025-07-16	FATTORIA SCALDASOLE S.R.L.		Pouch 85g. in monomateriale PP - Lotto di Pouch 231325/A-18 (Lotto Fornitore) - Scadenza indicata da fornitore 7/11/2024	1124SQ		
